tick;positiveVolume [MW];negativeVolume [MW]
1449;4155;4332
1450;4155;4332
1451;4155;4332
1452;4155;4332
1453;4155;4332
1454;4155;4332
1455;4155;4332
1456;4155;4332
1457;4155;4332
1458;4155;4332
1459;4155;4332
1460;4155;4332
1461;4155;4332
1462;4155;4332
1463;4155;4332
1464;4155;4332
1465;4155;4332
1466;4155;4332
1467;4155;4332
1468;4155;4332
1469;4155;4332
1470;4155;4332
1471;4155;4332
1472;4155;4332
1473;4155;4332
1474;4155;4332
1475;4155;4332
1476;4155;4332
1477;4155;4332
1478;4155;4332
1479;4155;4332
1480;4155;4332
1481;4155;4332
1482;4155;4332
1483;4155;4332
1484;4155;4332
1485;4155;4332
1486;4155;4332
1487;4155;4332
1488;4155;4332
1489;4155;4332
1490;4155;4332
1491;4155;4332
1492;4155;4332
1493;4155;4332
1494;4155;4332
1495;4155;4332
1496;4155;4332
1497;4155;4332
1498;4155;4332
1499;4155;4332
1500;4155;4332
1501;4155;4332
1502;4155;4332
1503;4155;4332
1504;4155;4332
1505;4155;4332
1506;4155;4332
1507;4155;4332
1508;4155;4332
1509;4155;4332
1510;4155;4332
1511;4155;4332
1512;4155;4332
1513;4155;4332
1514;4155;4332
1515;4155;4332
1516;4155;4332
1517;4155;4332
1518;4155;4332
1519;4155;4332
1520;4155;4332
1521;4155;4332
1522;4155;4332
1523;4155;4332
1524;4155;4332
1525;4155;4332
1526;4155;4332
1527;4155;4332
1528;4155;4332
1529;4155;4332
1530;4155;4332
1531;4155;4332
1532;4155;4332
1533;4155;4332
1534;4155;4332
1535;4155;4332
1536;4155;4332
1537;4155;4332
1538;4155;4332
1539;4155;4332
1540;4155;4332
1541;4155;4332
1542;4155;4332
1543;4155;4332
1544;4155;4332
1545;4155;4332
1546;4155;4332
1547;4155;4332
1548;4155;4332
1549;4155;4332
1550;4155;4332
1551;4155;4332
1552;4155;4332
1553;4155;4332
1554;4155;4332
1555;4155;4332
1556;4155;4332
1557;4155;4332
1558;4155;4332
1559;4155;4332
1560;4155;4332
1561;4155;4332
1562;4155;4332
1563;4155;4332
1564;4155;4332
1565;4155;4332
1566;4155;4332
1567;4155;4332
1568;4155;4332
1569;4155;4332
1570;4155;4332
1571;4155;4332
1572;4155;4332
1573;4155;4332
1574;4155;4332
1575;4155;4332
1576;4155;4332
1577;4155;4332
1578;4155;4332
1579;4155;4332
1580;4155;4332
1581;4155;4332
1582;4155;4332
1583;4155;4332
1584;4155;4332
1585;4155;4332
1586;4155;4332
1587;4155;4332
1588;4155;4332
1589;4155;4332
1590;4155;4332
1591;4155;4332
1592;4155;4332
1593;4155;4332
1594;4155;4332
1595;4155;4332
1596;4155;4332
1597;4155;4332
